,Stop,City,lat,lon
0,Primăverii,Cluj-napoca,46.751877,23.545594
1,Gârbau,Cluj-napoca,46.75204,23.546185
2,Spital Recuperare Sud,Cluj-napoca,46.754431,23.584495
3,Disp. Zorilor,Cluj-napoca,46.752625,23.577523
4,Suceagu,Baciu,46.787948,23.476377
5,Stop Position,Cluj-napoca,46.77398,23.621795
6,Girbău,Garbau,46.831313,23.358584
7,Girbău,Garbau,46.830828,23.359142
8,Gligorești,Luna,46.441941,23.995704
9,Gligorești,Luna,46.441922,23.995751
10,Gligorești,Luna,46.441969,23.995625
11,Gligorești,Luna,46.441899,23.995811
12,Iclod,Iclod,46.978609,23.816936
13,Iclod,Iclod,46.978588,23.817012
14,Poieni,Poieni,46.914026,22.861369
15,Tunel,Cojocna,46.73192,23.813761
16,Halta Valea Drăganului,Poieni,46.934653,22.844021
17,Crinului,Baciu,46.794243,23.524693
18,Paris,Cluj-napoca,46.782546,23.599884
19,Ion Meșter,Cluj-napoca,46.757036,23.556529
20,Barbu Patriciu,Cluj-napoca,46.78371,23.601451
21,Tăuțiului N,Floresti,46.742733,23.498896
22,Muncitorilor,Floresti,46.743079,23.498466
23,M-Eroilor E,Floresti,46.735526,23.483927
24,M-Someșului,Floresti,46.746399,23.499877
25,Piața Gării Vest,Cluj-napoca,46.782239,23.587449
26,Stop Position,Cluj-napoca,46.774168,23.591609
27,Regal,Baciu,46.79164,23.528225
28,UNIMET Nord,Cluj-napoca,46.796406,23.644841
29,Stop Position,Cluj-napoca,46.797111,23.660479
30,Septimiu Albini Nord,Cluj-napoca,46.769158,23.607927
31,Stop Position,Cluj-napoca,46.78484,23.586809
32,Stop Position,Cluj-napoca,46.7846,23.586932
33,Ploiești,Cluj-napoca,46.776683,23.597846
34,Nodul N Nord,Cluj-napoca,46.755861,23.537881
35,Zorilor,Cluj-napoca,46.752704,23.577772
36,Opera,Cluj-napoca,46.769883,23.597003
37,Stop Position,Cluj-napoca,46.774619,23.590041
38,Pod Traian,Cluj-napoca,46.7754,23.590316
39,Piața Gării Sud,Cluj-napoca,46.784254,23.588425
40,Oașului Sud Tram,Cluj-napoca,46.798702,23.606954
41,Disp. ERS CUG,Cluj-napoca,46.796085,23.63594
42,TERMOROM Nord Tram,Cluj-napoca,46.795971,23.630316
43,SINTEROM Nord,Cluj-napoca,46.796011,23.621046
44,Calvaria,Cluj-napoca,46.759199,23.557276
45,Sora,Cluj-napoca,46.771615,23.592003
46,Făgăraș,Cluj-napoca,46.786324,23.572048
47,Calea Baciului,Cluj-napoca,46.785486,23.547811
48,Stop Position,Apahida,46.775863,23.706028
49,Stop Position,Apahida,46.767655,23.709542
50,Tudor Vladimirescu Sud,Cluj-napoca,46.784299,23.555997
51,Fabrica de Pâine Sud,Cluj-napoca,46.784307,23.539488
52,Grupul Școlar CFR Est,Cluj-napoca,46.783758,23.591481
