"","location","date","stringency_index"
"1","Romania","2020-02-26","16.67"
"2","Romania","2020-02-27","16.67"
"3","Romania","2020-02-28","16.67"
"4","Romania","2020-02-29","16.67"
"5","Romania","2020-03-01","16.67"
"6","Romania","2020-03-02","16.67"
"7","Romania","2020-03-03","16.67"
"8","Romania","2020-03-04","16.67"
"9","Romania","2020-03-05","16.67"
"10","Romania","2020-03-06","16.67"
"11","Romania","2020-03-07","16.67"
"12","Romania","2020-03-08","30.56"
"13","Romania","2020-03-09","33.33"
"14","Romania","2020-03-10","33.33"
"15","Romania","2020-03-11","44.44"
"16","Romania","2020-03-12","58.33"
"17","Romania","2020-03-13","58.33"
"18","Romania","2020-03-14","58.33"
"19","Romania","2020-03-15","58.33"
"20","Romania","2020-03-16","58.33"
"21","Romania","2020-03-17","58.33"
"22","Romania","2020-03-18","58.33"
"23","Romania","2020-03-19","61.11"
"24","Romania","2020-03-20","61.11"
"25","Romania","2020-03-21","69.44"
"26","Romania","2020-03-22","75.0"
"27","Romania","2020-03-23","75.0"
"28","Romania","2020-03-24","75.0"
"29","Romania","2020-03-25","78.7"
"30","Romania","2020-03-26","78.7"
"31","Romania","2020-03-27","78.7"
"32","Romania","2020-03-28","78.7"
"33","Romania","2020-03-29","78.7"
"34","Romania","2020-03-30","81.48"
"35","Romania","2020-03-31","87.04"
"36","Romania","2020-04-01","87.04"
"37","Romania","2020-04-02","87.04"
"38","Romania","2020-04-03","87.04"
"39","Romania","2020-04-04","87.04"
"40","Romania","2020-04-05","87.04"
"41","Romania","2020-04-06","87.04"
"42","Romania","2020-04-07","87.04"
"43","Romania","2020-04-08","87.04"
"44","Romania","2020-04-09","87.04"
"45","Romania","2020-04-10","87.04"
"46","Romania","2020-04-11","87.04"
"47","Romania","2020-04-12","87.04"
"48","Romania","2020-04-13","87.04"
"49","Romania","2020-04-14","87.04"
"50","Romania","2020-04-15","87.04"
"51","Romania","2020-04-16","87.04"
"52","Romania","2020-04-17","87.04"
"53","Romania","2020-04-18","87.04"
"54","Romania","2020-04-19","87.04"
"55","Romania","2020-04-20","87.04"
"56","Romania","2020-04-21","87.04"
"57","Romania","2020-04-22","87.04"
"58","Romania","2020-04-23","87.04"
"59","Romania","2020-04-24","87.04"
"60","Romania","2020-04-25","87.04"
"61","Romania","2020-04-26","87.04"
"62","Romania","2020-04-27","87.04"
"63","Romania","2020-04-28","87.04"
"64","Romania","2020-04-29","87.04"
"65","Romania","2020-04-30","87.04"
"66","Romania","2020-05-01","87.04"
"67","Romania","2020-05-02","87.04"
"68","Romania","2020-05-03","87.04"
"69","Romania","2020-05-04","87.04"
"70","Romania","2020-05-05","87.04"
"71","Romania","2020-05-06","87.04"
"72","Romania","2020-05-07","87.04"
"73","Romania","2020-05-08","87.04"
"74","Romania","2020-05-09","87.04"
"75","Romania","2020-05-10","87.04"
"76","Romania","2020-05-11","78.7"
"77","Romania","2020-05-12","78.7"
